AAPL,2024-05-02 16:38:00 +0300 MSK,106.994859,106.994859,106.994859,106.994859
SBER,2024-05-02 16:38:00 +0300 MSK,213.330055,213.330055,213.330055,213.330055
NVDA,2024-05-02 16:38:00 +0300 MSK,301.211830,301.211830,301.211830,301.211830
TSLA,2024-05-02 16:38:00 +0300 MSK,404.574492,404.574492,404.574492,404.574492
AAPL,2024-05-02 16:39:00 +0300 MSK,110.162056,117.806333,102.335357,103.059502
SBER,2024-05-02 16:39:00 +0300 MSK,217.380988,219.719413,200.772988,208.755361
NVDA,2024-05-02 16:39:00 +0300 MSK,307.073321,319.686277,302.065433,302.065433
TSLA,2024-05-02 16:39:00 +0300 MSK,415.647449,419.690082,404.832558,404.832558
AAPL,2024-05-02 16:40:00 +0300 MSK,113.492449,119.687753,100.452134,112.387556
SBER,2024-05-02 16:40:00 +0300 MSK,209.878195,214.978289,202.169480,208.860206
NVDA,2024-05-02 16:40:00 +0300 MSK,301.046205,317.368903,301.046205,307.182363
TSLA,2024-05-02 16:40:00 +0300 MSK,416.521588,416.914716,402.522277,404.945307
AAPL,2024-05-02 16:41:00 +0300 MSK,102.862330,118.070736,100.023012,118.070736
SBER,2024-05-02 16:41:00 +0300 MSK,217.390579,217.390579,200.840575,215.492678
NVDA,2024-05-02 16:41:00 +0300 MSK,311.766779,319.438835,300.390146,302.658792
TSLA,2024-05-02 16:41:00 +0300 MSK,409.992457,417.974856,404.072747,408.433410
AAPL,2024-05-02 16:42:00 +0300 MSK,100.622316,119.141616,100.185827,119.141616
SBER,2024-05-02 16:42:00 +0300 MSK,218.249494,219.488408,201.748645,219.488408
NVDA,2024-05-02 16:42:00 +0300 MSK,318.026452,318.766576,300.148840,311.125601
TSLA,2024-05-02 16:42:00 +0300 MSK,404.246844,419.598992,403.549454,417.543304
AAPL,2024-05-02 16:43:00 +0300 MSK,117.319838,117.319838,101.349620,104.160513
SBER,2024-05-02 16:43:00 +0300 MSK,208.984029,219.492747,203.066753,203.066753
NVDA,2024-05-02 16:43:00 +0300 MSK,315.526653,315.526653,301.557065,308.486163
TSLA,2024-05-02 16:43:00 +0300 MSK,414.892700,418.980522,400.667621,409.149933
AAPL,2024-05-02 16:44:00 +0300 MSK,106.185054,118.619678,101.084250,114.576530
SBER,2024-05-02 16:44:00 +0300 MSK,217.525931,217.525931,200.641740,215.882520
NVDA,2024-05-02 16:44:00 +0300 MSK,305.367369,319.243081,301.643896,318.246838
TSLA,2024-05-02 16:44:00 +0300 MSK,406.904764,419.337754,400.401297,416.190114
